2694Ref,307886.655,5812905.47,32.767,-37.81104876,144.8175748,CENTRE_ROUND_MANHOLE_COVER,,,,,,
2694,Enter,1,1,L1,307898.225,5812900.19,32.686,6.713,11.57,-5.28,-37.81109875,144.8177047
2694,Enter,1,2,L1,307898.449,5812894.607,32.682,5.03,11.794,-10.863,-37.81114908,144.8177058
2694,Enter,1,3,L1,307897.999,5812889.022,32.658,4.662,11.344,-16.448,-37.81119928,144.8176992
2694,Enter,1,4,L1,307874.008,5812677.44,31.846,4.667,-12.647,-228.03,-37.81309988,144.8173707
2694,Enter,2,1,L2,307903.319,5812900.032,32.839,3.42,16.664,-5.438,-37.81110124,144.8177625
2694,Enter,2,2,L2,307878.082,5812676.565,31.991,3.629,-8.573,-228.905,-37.81310862,144.8174167
2694,Enter,3,1,RT1,307906.659,5812899.928,32.94,3.217,20.004,-5.542,-37.81110288,144.8178004
2694,Enter,3,2,RT1,307896.359,5812809.985,32.583,3.227,9.704,-95.485,-37.8119108,144.8176596
2694,Enter,3,3,RT1,307891.864,5812783.183,32.414,0.004,5.209,-122.287,-37.81215125,144.8176015
2694,Enter,4,1,SL,307935.361,5812919.651,32.947,5.677,48.706,14.181,-37.81093128,144.8181314
2694,Enter,4,2,SL,307931.688,5812922.253,32.908,5.677,45.033,16.783,-37.81090707,144.8180904
2694,Enter,4,3,SL,307930.55,5812924.115,32.906,5.36,43.895,18.645,-37.81089006,144.818078
2694,Enter,4,4,SL,307928.583,5812928.876,32.835,4.404,41.928,23.406,-37.81084677,144.8180569
2694,Enter,4,5,SL,307926.915,5812936.027,32.808,4.354,40.26,30.557,-37.81078201,144.8180399
2694,Enter,5,1,L1,307920.121,5812930.76,32.945,3.707,33.466,25.29,-37.81082802,144.8179614
2694,Enter,5,2,L1,307920.82,5812936.743,32.957,3.716,34.165,31.273,-37.81077428,144.8179709
2694,Enter,6,1,L2,307916.47,5812931.201,33.041,3.647,29.815,25.731,-37.81082328,144.8179201
2694,Enter,6,2,L2,307917.19,5812937.169,33.063,3.593,30.535,31.699,-37.81076968,144.8179298
2694,Enter,7,1,RT1,307912.802,5812931.642,33.116,3.74,26.147,26.172,-37.81081854,144.8178785
2694,Enter,7,2,RT1,307913.51,5812937.602,33.104,3.813,26.855,32.132,-37.81076501,144.8178881
2694,Enter,8,1,SL,307918.118,5812892.813,32.671,5.437,31.463,-12.657,-37.81116937,144.8179286
2694,Enter,8,2,SL,307920.674,5812896.605,32.709,5.437,34.019,-8.865,-37.81113576,144.8179586
2694,Enter,8,3,SL,307924.717,5812898.496,32.793,5,38.062,-6.974,-37.81111958,144.818005
2694,Enter,8,4,SL,307930.144,5812899.925,32.871,5.047,43.489,-5.545,-37.81110785,144.818067
2694,Enter,8,5,SL,307933.225,5812900.505,32.887,4.984,46.57,-4.965,-37.81110327,144.8181021
2694,Enter,8,6,SL,307939.625,5812901.138,32.924,4.48,52.97,-4.332,-37.81109892,144.8181749
