3910Ref,308600.314,5809215.293,10.974,-37.8444348,144.8247007,CENTRE_ROUND_MANHOLE_COVER,,,,,,
3910,Enter,1,1,LT1,308593.43,5809188.71,10.685,7.055,-6.884,-26.583,-37.84467278,144.8246155
3910,Enter,1,2,LT1,308598.049,5809185.999,10.698,7.055,-2.265,-29.294,-37.84469817,144.8246672
3910,Enter,1,3,LT1,308601.28,5809180.937,10.713,6.162,0.966,-34.356,-37.84474444,144.8247026
3910,Enter,1,4,LT1,308602.564,5809178.222,10.702,5.889,2.25,-37.071,-37.84476916,144.8247164
3910,Enter,1,5,LT1,308603.364,5809175.439,10.717,5.543,3.05,-39.854,-37.84479439,144.8247248
3910,Enter,1,6,LT1,308603.877,5809171.796,10.738,4.895,3.563,-43.497,-37.84482731,144.8247296
3910,Enter,1,7,LT1,308604.099,5809167.844,10.738,3.999,3.785,-47.449,-37.84486295,144.8247311
3910,Enter,1,8,LT1,308603.765,5809157.222,10.727,2.728,3.451,-58.071,-37.84495855,144.8247245
3910,Enter,1,9,LT1,308598.8,5809097.86,10.577,2.554,-1.514,-117.433,-37.84549216,144.8246524
3910,Enter,1,10,LT1,308596.718,5809060.033,10.488,0,-3.596,-155.26,-37.84583241,144.8246187
3910,Enter,2,1,L1,308610.429,5809184.022,10.987,3.051,10.115,-31.271,-37.84471857,144.8248073
3910,Enter,2,2,L1,308599.242,5809053.254,10.613,2.89,-1.072,-162.039,-37.845894,144.8246456
3910,Enter,2,3,L1,308598.102,5809044.99,10.559,2.746,-2.212,-170.303,-37.84596819,144.8246305
3910,Enter,2,4,L1,308597.02,5809038.961,10.535,2.874,-3.294,-176.332,-37.84602227,144.8246166
3910,Enter,2,5,L1,308592.994,5809021.501,10.459,2.993,-7.32,-193.792,-37.84617868,144.8245663
3910,Enter,2,6,L1,308588.848,5809007.139,10.391,3.145,-11.466,-208.154,-37.84630716,144.8245154
3910,Enter,2,7,L1,308585.022,5808996.272,10.344,3.27,-15.292,-219.021,-37.84640423,144.824469
3910,Enter,2,8,L1,308580.638,5808985.405,10.294,3.265,-19.676,-229.888,-37.84650119,144.8244164
3910,Enter,2,9,L1,308575.591,5808974.469,10.296,3.286,-24.723,-240.824,-37.84659862,144.8243561
3910,Enter,2,10,L1,308570.208,5808964.043,10.304,3.235,-30.106,-251.25,-37.8466914,144.8242922
3910,Enter,2,11,L1,308562.89,5808951.268,10.334,2.963,-37.424,-264.025,-37.84680492,144.8242057
3910,Enter,2,12,L1,308558.094,5808943.967,10.358,3.168,-42.22,-271.326,-37.84686967,144.8241493
3910,Enter,2,13,L1,308547.833,5808929.495,10.388,3.277,-52.481,-285.798,-37.84699786,144.824029
3910,Enter,3,1,L2,308613.571,5809183.166,11.074,3.354,13.257,-32.127,-37.84472694,144.8248428
