2652Ref,304242.571,5812646.108,39.444,-37.81261061,144.7761359,CENTRE_ROUND_MANHOLE_COVER,,,,,,
2652,Enter,1,1,L2,304240.794,5812642.268,39.342,3.835,-1.777,-3.84,-37.81264482,144.7761147
2652,Enter,1,2,L2,304335.062,5812634.444,39.248,4.169,92.491,-11.664,-37.81273549,144.7771828
2652,Enter,1,3,L2,304507.491,5812619.387,38.396,3.784,264.92,-26.721,-37.81290804,144.7791362
2652,Enter,2,1,L1,304240.384,5812638.446,39.264,3.85,-2.187,-7.662,-37.81267915,144.776109
2652,Enter,2,2,L1,304351.832,5812629.09,39.074,3.718,109.261,-17.018,-37.81278731,144.7773717
2652,Enter,2,3,L1,304507.185,5812615.671,38.283,3.672,264.614,-30.437,-37.81294144,144.7791317
2652,Enter,3,1,L1,304212.412,5812657.435,38.869,3.163,-30.159,11.327,-37.81250213,144.7757966
2652,Enter,3,2,L1,304153.997,5812662.331,38.406,3.221,-88.574,16.223,-37.81244551,144.7751348
2652,Enter,3,3,L1,304149.721,5812662.884,38.385,3.674,-92.85,16.776,-37.81243961,144.7750864
2652,Enter,3,4,L1,304149.897,5812662.868,38.385,3.617,-92.674,16.76,-37.81243979,144.7750884
2652,Enter,3,5,L1,304133.107,5812664.313,38.291,3.681,-109.464,18.205,-37.81242317,144.7748982
2652,Enter,3,6,L1,304036.001,5812672.161,38.274,2.964,-206.57,26.053,-37.81233165,144.7737979
2652,Enter,3,7,L1,303924.083,5812681.587,38.517,3.221,-318.488,35.479,-37.81222273,144.7725299
2652,Enter,4,1,L2,304212.199,5812654.228,38.975,3.264,-30.372,8.12,-37.81253097,144.7757933
2652,Enter,4,2,L2,303923.884,5812678.285,38.626,3.391,-318.687,32.177,-37.81225243,144.7725268
2652,Enter,5,1,LT1RT1,304224.972,5812630.352,38.96,11.471,-17.599,-15.756,-37.81274874,144.7759319
2652,Enter,5,2,LT1RT1,304226.824,5812626.21,38.874,11.39,-15.747,-19.898,-37.81278645,144.7759518
2652,Enter,5,3,LT1RT1,304229.014,5812623.619,38.849,10.441,-13.557,-22.489,-37.81281025,144.7759759
2652,Enter,5,4,LT1RT1,304230.992,5812622.562,38.822,9.191,-11.579,-23.546,-37.81282019,144.7759981
2652,Enter,5,5,LT1RT1,304235.762,5812620.934,38.8,6.588,-6.809,-25.174,-37.81283588,144.7760518
2652,Enter,5,6,LT1RT1,304241.65,5812620.254,38.404,5.386,-0.921,-25.854,-37.81284327,144.7761185
2652,NA,50,1,STOP_LINE,304241.003,5812644.173,39.386,0,-1.568,-1.935,-37.8126277,144.7761176
2652,NA,50,2,STOP_LINE,304240.585,5812640.355,39.299,0,-1.986,-5.753,-37.812662,144.7761118
2652,NA,50,3,STOP_LINE,304240.182,5812636.528,39.23,0,-2.389,-9.58,-37.81269638,144.7761062
2652,NA,51,1,STOP_LINE,304212.091,5812652.599,39.031,0,-30.48,6.491,-37.81254562,144.7757916
2652,NA,51,2,STOP_LINE,304212.517,5812659.013,38.809,0,-30.054,12.905,-37.81248794,144.7757982
2652,NA,52,1,STOP_LINE,304218.235,5812631.33,38.88,0,-24.336,-14.778,-37.81273849,144.7758556
2652,NA,52,2,STOP_LINE,304232.217,5812629.569,39.041,0,-10.354,-16.539,-37.81275735,144.7760139
2652,Exit,53,1,L1,304213.374,5812639.324,39.051,5.914,-29.197,-6.784,-37.81266545,144.7758026
2652,Exit,53,2,L1,304211.866,5812640.118,39.065,5.823,-30.705,-5.99,-37.81265798,144.7757857
2652,Exit,53,3,L1,304205.002,5812641.393,39.041,3.959,-37.569,-4.715,-37.81264502,144.7757081
2652,Exit,53,4,L1,304145.97,5812646.696,38.62,3.622,-96.601,0.588,-37.8125846,144.7750394
2652,Exit,53,5,L1,304079.631,5812652.375,38.374,3.551,-162.94,6.267,-37.81251922,144.7742878
2652,Exit,53,6,L1,303988.342,5812659.449,38.514,3.923,-254.229,13.341,-37.81243591,144.7732534
2652,Exit,53,7,L1,303983.547,5812660.061,38.519,3.467,-259.024,13.953,-37.81242937,144.7731991
2652,Exit,53,8,L1,303923.065,5812664.667,38.471,3.788,-319.506,18.559,-37.8123749,144.7725138
2652,Exit,54,1,L2,304213.618,5812644.596,39.19,3.921,-28.953,-1.512,-37.81261802,144.7758068
2652,Exit,54,2,L2,304105.893,5812654.004,38.496,4.012,-136.678,7.896,-37.81251018,144.7745864
2652,Exit,54,3,L2,304002.207,5812662.234,38.627,3.812,-240.364,16.126,-37.81241381,144.7734116
2652,Exit,54,4,L2,304000.828,5812662.508,38.631,4.143,-241.743,16.4,-37.81241104,144.773396
2652,Exit,54,5,L2,303981.296,5812664.107,38.615,4.239,-261.275,17.999,-37.81239245,144.7731747
2652,Exit,54,6,L2,303923.299,5812668.566,38.575,4.024,-319.272,22.458,-37.81233983,144.7725175
2652,Exit,55,1,L1,304242.18,5812654.932,39.032,3.172,-0.391,8.824,-37.81253106,144.7761339
2652,Exit,55,2,L1,304444.129,5812638.311,38.581,3.528,201.558,-7.797,-37.81272403,144.778422
2652,Exit,55,3,L1,304508.557,5812632.344,38.344,3.249,265.986,-13.764,-37.81279157,144.7791518
2652,Exit,56,1,L2,304241.728,5812650.795,39.156,5.089,-0.843,4.687,-37.81256822,144.7761276
2652,Exit,56,2,L2,304246.243,5812651.206,39.157,3.574,3.672,5.098,-37.81256549,144.776179
2652,Exit,56,3,L2,304254.234,5812650.766,39.152,3.114,11.663,4.658,-37.81257116,144.7762696
2652,Exit,56,4,L2,304458.311,5812633.676,38.595,3.227,215.74,-12.432,-37.81276882,144.7785817
2652,Exit,56,5,L2,304478.612,5812631.676,38.517,3.594,236.041,-14.432,-37.81279118,144.7788117
2652,Exit,56,6,L2,304508.282,5812629,38.451,3.461,265.711,-17.108,-37.81282163,144.7791478
2652,NA,57,1,LT1,304377.039,5812645.509,38.767,0,134.468,-0.599,-37.81264483,144.7776623
