2513Ref,308497.341,5811515.053,24.487,-37.82370008,144.8241399,CENTRE_SQUARE_MANHOLE_COVER,,,,,,
2513,Enter,5,2,LT1,308492.254,5811507.463,24.329,3.833,-5.087,-7.59,-37.82376737,144.8240801
2513,Enter,5,3,LT1,308487.337,5811510.372,24.377,4.158,-10.004,-4.681,-37.82374014,144.824025
2513,Enter,5,4,LT1,308478.09,5811516.57,24.584,3.967,-19.251,1.517,-37.82368237,144.8239217
2513,Enter,5,5,LT1,308470.599,5811522.672,24.708,3.702,-26.742,7.619,-37.82362584,144.8238382
2513,Enter,5,6,LT1,308465.575,5811527.558,24.773,3.623,-31.766,12.505,-37.82358078,144.8237825
2513,Enter,5,7,LT1,308461.254,5811532.389,24.878,3.577,-36.087,17.336,-37.82353636,144.8237347
2513,Enter,5,8,LT1,308454.159,5811541.313,25.019,3.705,-43.182,26.26,-37.8234545,144.8236565
2513,Enter,5,9,LT1,308450.982,5811545.397,25.106,3.728,-46.359,30.344,-37.82341705,144.8236215
2513,Enter,5,10,LT1,308449.387,5811547.957,25.161,4.367,-47.954,32.904,-37.82339366,144.8236041
2513,Enter,5,11,LT1,308423.76,5811580.569,25.623,3.777,-73.581,65.516,-37.82309455,144.8233217
2513,Enter,6,1,LT2,308493.418,5811502.129,24.453,4.768,-3.923,-12.924,-37.82381566,144.8240919
2513,Enter,6,2,LT2,308484.724,5811507.231,24.531,3.904,-12.617,-7.822,-37.82376788,144.8239945
2513,Enter,6,3,LT2,308477.703,5811511.988,24.646,3.779,-19.638,-3.065,-37.82372356,144.8239161
2513,Enter,6,4,LT2,308471.381,5811516.965,24.8,3.812,-25.96,1.912,-37.82367741,144.8238456
2513,Enter,6,5,LT2,308466.839,5811520.981,24.848,3.934,-30.502,5.928,-37.82364028,144.8237951
2513,Enter,6,6,LT2,308462.893,5811524.905,24.903,3.918,-34.448,9.852,-37.82360411,144.8237513
2513,Enter,6,7,LT2,308458.445,5811530.037,24.991,3.754,-38.896,14.984,-37.82355696,144.8237022
2513,Enter,6,8,LT2,308451.227,5811539.118,25.133,3.617,-46.114,24.065,-37.82347365,144.8236226
2513,Enter,6,9,LT2,308420.776,5811578.262,25.687,3.766,-76.565,63.209,-37.82311471,144.8232872
2513,Enter,7,1,RT1,308482.075,5811492.715,24.585,3.84,-15.266,-22.338,-37.82389806,144.8239606
2513,Enter,7,2,RT1,308479.459,5811496.408,24.648,4.149,-17.882,-18.645,-37.82386425,144.8239319
2513,Enter,7,3,RT1,308459.828,5811521.924,25.043,4.029,-37.513,6.871,-37.82363032,144.8237157
2513,Enter,7,4,RT1,308417.852,5811575.985,25.806,3.646,-79.489,60.932,-37.8231346,144.8232534
2513,NA,50,1,STOP_LINE,308496.059,5811507.77,24.327,0,-1.282,-7.283,-37.8237654,144.8241234
2513,NA,50,2,STOP_LINE,308492.393,5811499.939,24.502,0,-4.948,-15.114,-37.82383517,144.8240797
2513,NA,51,1,STOP_LINE,308480.485,5811491.646,24.596,0,-16.856,-23.407,-37.82390736,144.8239423
2513,NA,51,2,STOP_LINE,308483.664,5811493.784,24.575,0,-13.677,-21.269,-37.82388877,144.823979
2513,NA,52,1,STOP_LINE,308474.375,5811470.729,24.439,0,-22.966,-44.324,-37.82409447,144.8238674
2513,NA,52,2,STOP_LINE,308469.714,5811476.611,24.515,0,-27.627,-38.442,-37.82404051,144.823816
2513,NA,53,1,STOP_LINE,308490.126,5811471.665,24.306,0,-7.215,-43.388,-37.82408934,144.8240465
2513,NA,53,2,STOP_LINE,308496.7,5811482.896,24.159,0,-0.641,-32.157,-37.82398957,144.8241241
2513,Exit,54,1,SL,308461.144,5811496.903,24.568,4.942,-36.197,-18.15,-37.82385595,144.8237241
2513,Exit,54,2,SL,308461.054,5811487.323,24.425,4.936,-36.287,-27.73,-37.82394222,144.8237205
2513,Exit,54,3,SL,308460.293,5811482.49,24.408,4.288,-37.048,-32.563,-37.82398559,144.8237106
2513,Exit,54,4,SL,308459.275,5811478.566,24.404,4.283,-38.066,-36.487,-37.82402071,144.823698
2513,Exit,54,5,SL,308457.753,5811474.01,24.414,4.622,-39.588,-41.043,-37.82406143,144.8236795
2513,Exit,54,6,SL,308457.876,5811474.313,24.414,4.593,-39.465,-40.74,-37.82405873,144.823681
2513,Exit,54,7,SL,308456.485,5811471.653,24.397,4.39,-40.856,-43.4,-37.82408239,144.8236645
2513,Exit,54,8,SL,308453.784,5811467.588,24.396,3.879,-43.557,-47.465,-37.82411844,144.8236327
2513,Exit,54,9,SL,308451.172,5811464.656,24.398,3.409,-46.169,-50.397,-37.8241443,144.8236023
2513,Exit,54,10,SL,308442.883,5811457.687,24.413,2.404,-54.458,-57.366,-37.82420532,144.8235063
2513,Exit,54,11,SL,308424.563,5811444.156,24.474,2.927,-72.778,-70.897,-37.82432335,144.8232948
2513,Exit,54,12,SL,308411.215,5811434.679,24.516,3.48,-86.126,-80.374,-37.8244059,144.8231407
2513,Exit,54,13,SL,308404.132,5811429.905,24.525,3.571,-93.209,-85.148,-37.82444741,144.823059
2513,Exit,54,14,SL,308393.841,5811423.494,24.57,3.686,-103.5,-91.559,-37.82450299,144.8229404
2513,Exit,54,15,SL,308365.711,5811407.276,24.714,3.396,-131.63,-107.777,-37.82464315,144.8226167
2513,Exit,54,16,SL,308363.387,5811404.163,24.781,0.078,-133.954,-110.89,-37.8246707,144.8225895
2513,Exit,55,1,L1,308487.282,5811487.781,24.479,3.724,-10.059,-27.272,-37.8239436,144.8240184
2513,Exit,55,2,L1,308512.217,5811506.352,24.254,3.602,14.876,-8.701,-37.82378157,144.8243065
2513,Exit,55,3,L1,308521.208,5811512.762,24.155,4.011,23.867,-2.291,-37.82372572,144.8244103
2513,Exit,55,4,L1,308531.603,5811519.577,23.922,3.973,34.262,4.524,-37.82366652,144.8245301
2513,Exit,55,5,L1,308545.805,5811528.296,23.671,3.882,48.464,13.243,-37.82359097,144.8246937
2513,Exit,55,6,L1,308560.025,5811536.531,23.418,3.844,62.684,21.478,-37.82351978,144.8248573
2513,Exit,55,7,L1,308574.497,5811544.349,23.132,3.775,77.156,29.296,-37.82345241,144.8250237
2513,Exit,55,8,L1,308589.658,5811552.149,22.855,3.725,92.317,37.096,-37.82338533,144.8251979
2513,Exit,55,9,L1,308607.273,5811560.816,22.405,3.697,109.932,45.763,-37.82331097,144.8254002
2513,Exit,55,10,L1,308619.642,5811566.54,22.05,3.666,122.301,51.487,-37.82326201,144.8255422
2513,Exit,55,11,L1,308638.74,5811574.907,21.493,3.702,141.399,59.854,-37.82319065,144.8257612
2513,Exit,55,12,L1,308654.466,5811581.479,21.002,3.688,157.125,66.426,-37.82313476,144.8259415
2513,Exit,55,13,L1,308681.32,5811591.996,20.117,3.589,183.979,76.943,-37.82304567,144.8262492
2513,Exit,55,14,L1,308737.38,5811612.774,18.704,3.528,240.039,97.721,-37.82287028,144.8268912
2513,Exit,56,1,L2,308489.052,5811484.478,24.45,3.661,-8.289,-30.575,-37.82397372,144.8240377
2513,Exit,56,2,L2,308500.949,5811493.564,24.265,3.737,3.608,-21.489,-37.82389438,144.8241752
2513,Exit,56,3,L2,308514.207,5811503.217,24.097,3.819,16.866,-11.836,-37.82381022,144.8243282
2513,Exit,56,4,L2,308521.194,5811508.077,23.999,3.783,23.853,-6.976,-37.82376791,144.8244089
2513,Exit,56,5,L2,308536.858,5811518.382,23.7,3.626,39.517,3.329,-37.82367839,144.8245894
2513,Exit,56,6,L2,308552.569,5811527.883,23.443,3.753,55.228,12.83,-37.82359611,144.8247704
2513,Exit,56,7,L2,308563.485,5811534.112,23.245,3.793,66.144,19.059,-37.8235423,144.8248959
2513,Exit,56,8,L2,308576.956,5811541.412,23.021,3.727,79.615,26.359,-37.82347937,144.8250508
2513,Exit,56,9,L2,308593.636,5811550.04,22.72,3.627,96.295,34.987,-37.82340516,144.8252425
2513,Exit,56,10,L2,308607.252,5811556.724,22.369,3.652,109.911,41.671,-37.82334782,144.8253989
2513,Exit,56,11,L2,308621.209,5811563.164,21.967,3.778,123.868,48.111,-37.82329274,144.8255591
2513,Exit,56,12,L2,308644.064,5811573.166,21.315,3.709,146.723,58.113,-37.82320745,144.8258212
2513,Exit,56,13,L2,308662.125,5811580.666,20.776,3.545,164.784,65.613,-37.82314369,144.8260283
2513,Exit,56,14,L2,308701.84,5811595.948,19.449,3.424,204.499,80.895,-37.82301437,144.8264832
2513,Exit,56,15,L2,308738.986,5811609.658,18.729,3.428,241.645,94.605,-37.82289868,144.8269086
2513,Exit,59,1,SL,308539.686,5811526.895,23.8,0,42.345,11.842,-37.82360231,144.8246238
2513,Exit,59,2,SL,308556.998,5811542.402,23.499,9.964,59.657,27.349,-37.82346627,144.8248245
2513,Exit,59,3,SL,308566.893,5811548.029,23.312,9.985,69.552,32.976,-37.82341767,144.8249383
2513,Exit,59,4,SL,308590.924,5811558.875,22.859,7.247,93.583,43.822,-37.82332502,144.8252141
2513,Exit,59,5,SL,308632.231,5811576.061,21.707,3.627,134.89,61.008,-37.8231789,144.8256876
2513,Exit,59,6,SL,308636.797,5811578.413,21.559,4.37,139.456,63.36,-37.82315867,144.8257401
2513,Exit,59,7,SL,308639.999,5811581.215,21.521,5.062,142.658,66.162,-37.8231341,144.8257772
2513,Exit,59,8,SL,308641.192,5811582.636,21.462,5.417,143.851,67.583,-37.82312156,144.8257911
2513,Exit,59,9,SL,308642.584,5811585.069,21.413,5.687,145.243,70.016,-37.82309993,144.8258075
2513,Exit,59,10,SL,308643.41,5811587.716,21.406,5.693,146.069,72.663,-37.82307627,144.8258176
2513,Exit,59,11,SL,308643.626,5811589.303,21.408,5.627,146.285,74.25,-37.82306202,144.8258205
2513,Exit,59,12,SL,308643.545,5811592.098,21.435,5.254,146.204,77.045,-37.82303683,144.8258203
2513,Exit,59,13,SL,308642.912,5811596.424,21.509,4.724,145.571,81.371,-37.82299773,144.8258143
2513,Exit,59,14,SL,308641.549,5811602.833,21.633,3.948,144.208,87.78,-37.82293972,144.8258005
