17000Ref,302598.399,5814305.236,51.029,-37.79731401,144.7579227,CENTRE_SQUARE_MANHOLE_COVER,,,,,,
17000,NA,50,1,L1,302349.764,5814395.735,57.741,3.48,-248.635,90.499,-37.79644519,144.7551254
17000,NA,50,2,L1,302373.452,5814384.953,56.9,3.542,-224.947,79.717,-37.79654742,144.7553913
17000,NA,50,3,L1,302396.856,5814374.98,56.1,3.518,-201.543,69.744,-37.7966423,144.7556542
17000,NA,50,4,L1,302412.181,5814368.975,55.573,3.464,-186.218,63.739,-37.7966997,144.7558265
17000,NA,50,5,L1,302436.04,5814360.145,54.755,3.438,-162.359,54.909,-37.79678439,144.7560949
17000,NA,50,6,L1,302464.119,5814350.65,53.823,3.527,-134.28,45.414,-37.79687597,144.756411
17000,NA,50,7,L1,302487.267,5814343.465,53.101,3.647,-111.132,38.229,-37.79694569,144.7566718
17000,NA,50,8,L1,302515.2,5814335.542,52.394,3.407,-83.199,30.306,-37.79702309,144.7569867
17000,NA,50,9,L1,302533.821,5814330.722,51.998,3.447,-64.578,25.486,-37.79707052,144.7571967
17000,NA,50,10,L1,302561.007,5814324.512,51.557,3.563,-37.392,19.276,-37.79713233,144.7575036
17000,NA,50,11,L1,302583.585,5814319.951,51.287,3.641,-14.814,14.715,-37.79717828,144.7577586
17000,NA,50,12,L1,302607.433,5814315.72,51.126,3.545,9.034,10.484,-37.79722154,144.7580281
17000,NA,50,13,L1,302626.05,5814312.82,51.033,3.527,27.651,7.584,-37.79725169,144.7582386
17000,NA,50,14,L1,302652.469,5814309.373,50.906,3.444,54.07,4.137,-37.79728844,144.7585375
17000,NA,50,15,L1,302671.392,5814307.312,50.808,3.376,72.993,2.076,-37.79731109,144.7587518
17000,NA,50,16,L1,302729.383,5814302.598,50.517,3.551,130.984,-2.638,-37.79736607,144.7594087
17000,NA,51,1,L2,302347.95,5814392.764,57.837,3.44,-250.449,87.528,-37.79647155,144.755104
17000,NA,51,2,L2,302372.008,5814381.804,56.992,3.384,-226.391,76.568,-37.79657547,144.7553741
17000,NA,51,3,L2,302394.48,5814372.244,56.218,3.364,-203.919,67.008,-37.79666643,144.7556265
17000,NA,51,4,L2,302414.639,5814364.335,55.545,3.475,-183.76,59.099,-37.79674202,144.7558532
17000,NA,51,5,L2,302435.883,5814356.508,54.823,3.525,-162.516,51.272,-37.79681711,144.7560922
17000,NA,51,6,L2,302455.964,5814349.59,54.149,3.562,-142.435,44.354,-37.79688376,144.7563182
17000,NA,51,7,L2,302486.129,5814340.056,53.218,3.538,-112.27,34.82,-37.79697615,144.756658
17000,NA,51,8,L2,302506.377,5814334.294,52.678,3.644,-92.022,29.058,-37.79703242,144.7568862
17000,NA,51,9,L2,302532.725,5814327.432,52.104,3.468,-65.674,22.196,-37.79709992,144.7571834
17000,NA,51,10,L2,302561.819,5814320.726,51.656,3.482,-36.58,15.49,-37.7971666,144.7575118
17000,NA,51,11,L2,302585.577,5814315.968,51.378,3.379,-12.822,10.732,-37.79721459,144.7577801
17000,NA,51,12,L2,302610.861,5814311.586,51.217,3.498,12.462,6.35,-37.79725952,144.7580659
17000,NA,51,13,L2,302625.518,5814309.347,51.144,3.5,27.119,4.111,-37.79728285,144.7582316
17000,NA,51,14,L2,302651.149,5814305.985,51.018,3.597,52.75,0.749,-37.79731867,144.7585216
17000,NA,51,15,L2,302669.677,5814303.97,50.922,3.613,71.278,-1.266,-37.79734082,144.7587314
17000,NA,51,16,L2,302728.971,5814299.022,50.63,3.634,130.572,-6.214,-37.79739819,144.759403
17000,NA,52,1,L1,302455.825,5814327.876,54.59,3.605,-142.574,22.64,-37.79707929,144.7563107
17000,NA,52,2,L1,302471.382,5814322.908,54.12,3.476,-127.017,17.672,-37.7971274,144.7564859
17000,NA,52,3,L1,302494.176,5814316.161,53.47,3.464,-104.223,10.925,-37.79719309,144.7567428
17000,NA,52,4,L1,302521.002,5814309.018,52.899,3.53,-77.397,3.782,-37.79726322,144.7570453
17000,NA,52,5,L1,302554.416,5814301.2,52.321,3.518,-43.983,-4.036,-37.79734086,144.7574224
17000,NA,52,6,L1,302587.298,5814294.57,51.982,3.469,-11.101,-10.666,-37.79740768,144.7577938
17000,NA,52,7,L1,302599.656,5814292.391,51.905,3.524,1.257,-12.845,-37.79742997,144.7579335
17000,NA,52,8,L1,302623.573,5814288.673,51.785,3.413,25.174,-16.563,-37.79746863,144.7582039
17000,NA,52,9,L1,302651.678,5814284.967,51.667,3.542,53.279,-20.269,-37.79750807,144.7585219
17000,NA,52,10,L1,302677.154,5814282.34,51.505,3.624,78.755,-22.896,-37.79753724,144.7588104
17000,NA,52,11,L1,302726.597,5814278.413,50.82,3.542,128.198,-26.823,-37.79758329,144.7593705
17000,NA,53,1,L2,302456.967,5814331.205,54.482,3.434,-141.432,25.969,-37.79704955,144.7563246
17000,NA,53,2,L2,302472.438,5814326.241,54.008,3.516,-125.961,21.005,-37.79709761,144.7564988
17000,NA,53,3,L2,302493.583,5814319.993,53.402,3.548,-104.816,14.757,-37.79715845,144.7567371
17000,NA,53,4,L2,302518.545,5814313.259,52.849,3.513,-79.854,8.023,-37.7972245,144.7570186
17000,NA,53,5,L2,302541.294,5814307.724,52.427,3.518,-57.105,2.488,-37.79727926,144.7572753
17000,NA,53,6,L2,302553.224,5814305.049,52.236,3.496,-45.175,-0.187,-37.79730593,144.7574099
17000,NA,53,7,L2,302570.293,5814301.455,52.029,3.536,-28.106,-3.781,-37.79734199,144.7576027
17000,NA,53,8,L2,302591.522,5814297.372,51.844,3.543,-6.877,-7.864,-37.79738335,144.7578425
17000,NA,53,9,L2,302624.177,5814292.117,51.676,3.577,25.778,-13.119,-37.79743774,144.7582117
17000,NA,53,10,L2,302655.956,5814288.043,51.54,3.539,57.557,-17.193,-37.7974813,144.7585713
17000,NA,53,11,L2,302684.679,5814285.248,51.338,3.508,86.28,-19.988,-37.79751267,144.7588966
17000,NA,53,12,L2,302727.001,5814281.92,50.844,3.512,128.602,-23.316,-37.79755179,144.759376
17000,NA,54,1,L1RT1,302159.899,5814380.428,52.507,3.575,-438.5,75.192,-37.79654195,144.7529663
17000,NA,54,2,L1RT1,302177.772,5814375.254,52.503,3.671,-420.627,70.018,-37.79659242,144.7531677
17000,NA,54,3,L1RT1,302227.564,5814361.563,52.989,3.494,-370.835,56.327,-37.7967265,144.7537291
17000,NA,54,4,L1RT1,302257.985,5814353.671,53.293,3.549,-340.414,48.435,-37.79680417,144.7540723
17000,NA,54,5,L1RT1,302284.473,5814347.31,53.546,3.61,-313.926,42.074,-37.79686719,144.7543712
17000,NA,54,6,L1RT1,302457.528,5814310.04,54.235,3.602,-140.871,4.804,-37.79724029,144.7563252
17000,NA,54,7,L1RT1,302486.975,5814304.18,53.807,3.541,-111.424,-1.056,-37.79729944,144.7566578
17000,NA,54,8,L1RT1,302525.233,5814297.286,53.05,3.732,-73.166,-7.95,-37.7973698,144.7570901
17000,NA,54,9,L1RT1,302540.114,5814295.039,52.764,4.173,-58.285,-10.197,-37.79739325,144.7572584
17000,NA,54,10,L1RT1,302560.784,5814292.286,52.442,4.867,-37.615,-12.95,-37.79742252,144.7574923
17000,NA,54,11,L1RT1,302635.815,5814283.744,51.825,2.891,37.416,-21.492,-37.79751566,144.7583415
17000,NA,54,12,L1RT1,302651.39,5814282.333,51.739,1.758,52.991,-22.903,-37.79753174,144.7585179
17000,NA,54,13,L1RT1,302676.955,5814280.539,51.558,0,78.556,-24.697,-37.79755342,144.7588076
17000,NA,55,1,SL,302151.171,5814365.672,52.408,6.442,-447.228,60.436,-37.79667295,144.7528632
17000,NA,55,2,SL,302152.86,5814368.148,52.399,6.442,-445.539,62.912,-37.79665102,144.7528831
17000,NA,55,3,SL,302153.214,5814368.375,52.393,6.183,-445.185,63.139,-37.79664905,144.7528871
17000,NA,55,4,SL,302156.326,5814369.852,52.339,4.881,-442.073,64.616,-37.79663642,144.7529229
17000,NA,55,5,SL,302160.076,5814371.006,52.291,4.337,-438.323,65.77,-37.79662684,144.7529657
17000,NA,55,6,SL,302164.014,5814371.759,52.29,4.269,-434.385,66.523,-37.79662091,144.7530106
17000,NA,55,7,SL,302167.641,5814372.067,52.303,4.226,-430.758,66.831,-37.79661893,144.7530519
17000,NA,55,8,SL,302171.591,5814372.041,52.327,3.982,-426.808,66.805,-37.79662002,144.7530967
17000,NA,55,9,SL,302176.915,5814371.621,52.381,3.822,-421.484,66.385,-37.79662495,144.753157
17000,NA,55,10,SL,302183.247,5814370.253,52.443,3.269,-415.152,65.017,-37.79663864,144.7532285
17000,NA,55,11,SL,302216.173,5814360.931,52.787,3.645,-382.226,55.695,-37.79672973,144.7535997
17000,NA,55,12,SL,302250.445,5814351.972,53.119,3.476,-347.954,46.736,-37.79681784,144.7539862
17000,NA,55,13,SL,302261.8,5814349.527,53.235,2.641,-336.599,44.291,-37.79684231,144.7541144
17000,NA,55,14,SL,302286.549,5814344.956,53.505,0.007,-311.85,39.72,-37.79688884,144.7543941
17000,NA,56,1,STOP_LINE,302159.423,5814377.71,52.433,0,-438.976,72.474,-37.79656632,144.7529602
17000,NA,56,2,STOP_LINE,302160.349,5814382.993,52.573,0,-438.05,77.757,-37.79651894,144.7529721
17000,Crosswalk,57,1,CROSSWALK,302156.478,5814378.956,52.5,2.498,-441.921,73.72,-37.79655446,144.7529271
17000,Crosswalk,57,2,CROSSWALK,302157.692,5814386.766,52.67,2.538,-440.707,81.53,-37.79648439,144.752943
17000,NA,58,1,L1,302153.759,5814382.239,52.58,3.541,-444.64,77.003,-37.79652431,144.7528971
17000,NA,58,2,L1,302155.634,5814381.695,52.567,3.569,-442.765,76.459,-37.79652961,144.7529182
17000,NA,59,1,L1,302342.377,5814419.073,56.309,6.968,-256.022,113.837,-37.7962334,144.7550479
17000,NA,59,2,L1,302359.874,5814407.808,56.174,6.444,-238.525,102.572,-37.79633864,144.7552435
17000,NA,59,3,L1,302375.919,5814398.341,55.972,5.542,-222.48,93.105,-37.79642738,144.755423
17000,NA,59,4,L1,302387.658,5814392.058,55.782,5.009,-210.741,86.822,-37.7964865,144.7555545
17000,NA,59,5,L1,302405.018,5814383.515,55.426,4.295,-193.381,78.279,-37.7965672,144.7557492
17000,NA,59,6,L1,302436.274,5814369.214,54.583,3.713,-162.125,63.978,-37.79670276,144.7561001
17000,NA,59,7,L1,302464.907,5814356.924,53.67,3.682,-133.492,51.688,-37.79681964,144.7564217
17000,NA,59,8,L1,302479.758,5814351.038,53.207,3.794,-118.641,45.802,-37.79687586,144.7565886
17000,NA,59,9,L1,302494.764,5814345.432,52.801,4.262,-103.635,40.196,-37.7969296,144.7567574
17000,NA,59,10,L1,302504.277,5814342.481,52.555,4.083,-94.122,37.245,-37.79695823,144.7568646
17000,NA,59,11,L1,302516.339,5814338.971,52.282,3.808,-82.06,33.735,-37.79699245,144.7570005
17000,NA,59,12,L1,302534.711,5814334.124,51.884,3.585,-63.688,28.888,-37.79704007,144.7572077
17000,NA,59,13,L1,302559.415,5814328.48,51.485,3.494,-38.984,23.244,-37.79709625,144.7574866
17000,NA,59,14,L1,302587.191,5814322.87,51.157,3.414,-11.208,17.634,-37.79715277,144.7578003
17000,NA,59,15,L1,302615.318,5814317.866,50.99,3.279,16.919,12.63,-37.79720392,144.7581182
17000,NA,59,16,L1,302641.757,5814313.786,50.87,2.688,43.358,8.55,-37.79724638,144.7584172
17000,NA,59,17,L1,302669.687,5814310.153,50.741,1.928,71.288,4.917,-37.79728513,144.7587332
