5258Ref,305173.037,5811745.886,32.391,-37.82091745,144.7864568,CENTRE_ROUND_MANHOLE_COVER,,,,,,
5258,Enter,1,1,L1,305158.33,5811745.476,31.927,3.592,-14.707,-0.41,-37.820918,144.7862897
5258,Enter,1,2,L1,305139.827,5811518.43,30.082,3.489,-33.21,-227.456,-37.82295893,144.7860185
5258,Enter,1,3,L1,305139.451,5811514.251,30.085,3.588,-33.586,-231.635,-37.82299648,144.7860131
5258,Enter,1,4,L1,305138.925,5811511.287,30.115,4.162,-34.112,-234.599,-37.82302307,144.7860064
5258,Enter,1,5,L1,305135.431,5811465.909,30.22,3.702,-37.606,-279.977,-37.82343101,144.7859545
5258,Enter,2,1,L2,305162.086,5811745.188,32.04,3.942,-10.951,-0.698,-37.8209214,144.7863323
5258,Enter,2,2,L2,305139.243,5811465.477,30.326,3.964,-33.794,-280.409,-37.82343572,144.7859977
5258,Enter,3,1,RT1,305165.513,5811744.924,32.143,2.933,-7.524,-0.962,-37.82092451,144.7863711
5258,Enter,3,2,RT1,305161.746,5811700.876,31.728,2.844,-11.291,-45.01,-37.82132042,144.7863165
5258,Enter,3,3,RT1,305156.584,5811655.04,30.978,0.05,-16.453,-90.846,-37.82173213,144.7862456
5258,Enter,4,1,L1,305185.81,5811787.092,32.386,4.899,12.773,41.206,-37.82054906,144.7866129
5258,Enter,4,2,L1,305185.78,5811790.835,32.398,4.25,12.743,44.949,-37.82051534,144.7866136
5258,Enter,4,3,L1,305186.532,5811796.392,32.408,4.848,13.495,50.506,-37.82046545,144.7866236
5258,Enter,4,4,L1,305187.292,5811805.762,32.46,4.843,14.255,59.876,-37.82038122,144.7866348
5258,Enter,4,5,L1,305187.047,5811806.785,32.474,4.188,14.01,60.899,-37.82037196,144.7866323
5258,Enter,4,6,L1,305190.956,5811855.223,32.671,4.121,17.919,109.337,-37.81993654,144.7866897
5258,Enter,4,7,L1,305208.467,5812066.849,34.001,3.819,35.43,320.963,-37.81803428,144.7869454
5258,Enter,5,1,L2,305181.736,5811787.304,32.407,3.24,8.699,41.418,-37.82054628,144.7865667
5258,Enter,5,2,L2,305204.75,5812067.076,33.997,3.627,31.713,321.19,-37.81803144,144.7869033
5258,Enter,6,1,RT1,305178.326,5811787.481,32.425,3.57,5.289,41.595,-37.82054396,144.7865281
5258,Enter,6,2,RT1,305182.362,5811835.376,32.638,3.307,9.325,89.49,-37.82011345,144.7865868
5258,Enter,6,3,RT1,305188.246,5811885.89,32.951,0,15.209,140.004,-37.81965976,144.7866672
5258,Enter,7,1,L1,305193.06,5811762.669,32.096,6.53,20.023,16.783,-37.82077057,144.7866887
5258,Enter,7,2,L1,305196.333,5811763.385,32.057,4.613,23.296,17.499,-37.82076482,144.786726
5258,Enter,7,3,L1,305199.366,5811763.571,32.004,3.655,26.329,17.685,-37.82076379,144.7867605
5258,Enter,7,4,L1,305212.657,5811762.696,31.822,2.829,39.62,16.81,-37.82077451,144.7869112
5258,Enter,8,1,L1RT1,305193.514,5811767.513,32.174,3.06,20.477,21.627,-37.82072704,144.7866951
5258,Enter,8,2,L1RT1,305212.933,5811765.67,31.887,3.149,39.896,19.784,-37.82074778,144.7869151
5258,Enter,9,1,L1,305149.949,5811767.835,32.18,3.241,-23.088,21.949,-37.82071484,144.7862006
5258,Enter,9,2,L1,305131.988,5811768.932,32.3,2.962,-41.049,23.046,-37.82070112,144.785997
5258,Crosswalk,10,1,CROSSWALK,305152.66,5811759.872,32.096,2.512,-20.377,13.986,-37.82078713,144.7862292
5258,Crosswalk,10,2,CROSSWALK,305154.775,5811785.806,32.234,2.661,-18.262,39.92,-37.82055401,144.7862602
5258,Crosswalk,11,1,CROSSWALK,305188.87,5811755.06,32.164,2.476,15.833,9.174,-37.8208382,144.7866391
5258,Crosswalk,11,2,CROSSWALK,305191.352,5811781.231,32.167,2.661,18.315,35.345,-37.82060303,144.7866743
5258,Crosswalk,12,1,CROSSWALK,305156.87,5811749.65,31.885,3.027,-16.167,3.764,-37.8208801,144.7862743
5258,Crosswalk,12,2,CROSSWALK,305185.546,5811747.346,32.253,2.617,12.509,1.46,-37.82090697,144.7865992
5258,Exit,50,1,L1,305161.416,5811788.352,32.119,3.951,-11.621,42.466,-37.8205325,144.7863363
5258,Exit,50,2,L1,305161.681,5811788.761,32.108,3.951,-11.356,42.875,-37.82052887,144.7863394
5258,Exit,50,3,L1,305161.977,5811791.312,32.11,3.772,-11.06,45.426,-37.82050596,144.7863435
5258,Exit,50,4,L1,305184.78,5812068.283,33.582,3.588,11.743,322.397,-37.81801631,144.7866769
5258,Exit,51,1,L2,305165.508,5811788.146,32.226,3.788,-7.529,42.26,-37.82053523,144.7863827
5258,Exit,51,2,L2,305188.445,5812068.062,33.682,3.756,15.408,322.176,-37.81801908,144.7867184
5258,Exit,52,1,RT1,305188.297,5812043.438,33.633,0,15.26,297.552,-37.81824082,144.7867101
5258,Exit,52,2,RT1,305191.187,5812067.898,33.771,1.723,18.15,322.012,-37.81802114,144.7867495
5258,Exit,53,1,L1,305182.658,5811746.293,32.298,5.236,9.621,0.407,-37.82091584,144.7865662
5258,Exit,53,2,L1,305180.975,5811727.192,32.117,5.009,7.938,-18.694,-37.82108751,144.7865419
5258,Exit,53,3,L1,305179.972,5811720.451,32.065,4.115,6.935,-25.435,-37.82114801,144.7865287
5258,Exit,53,4,L1,305178.537,5811704.52,31.849,3.849,5.5,-41.366,-37.82129118,144.7865081
5258,Exit,53,5,L1,305177.034,5811683.974,31.45,4.124,3.997,-61.912,-37.82147591,144.7864855
5258,Exit,53,6,L1,305163.592,5811520.529,30.415,3.713,-9.445,-225.357,-37.82294509,144.7862889
5258,Exit,53,7,L1,305161.583,5811491.802,30.499,4.04,-11.454,-254.084,-37.82320339,144.7862584
5258,Exit,53,8,L1,305161.023,5811477.397,30.526,5.135,-12.014,-268.489,-37.82333301,144.7862482
5258,Exit,53,9,L1,305159.554,5811463.177,30.614,4.427,-13.483,-282.709,-37.82346077,144.7862276
5258,Exit,54,1,LSR,305178.396,5811746.684,32.387,3.325,5.359,0.798,-37.82091141,144.7865179
5258,Exit,54,2,LSR,305166.696,5811604.345,30.678,3.585,-6.341,-141.541,-37.82219087,144.7863467
5258,Exit,54,3,LSR,305158.616,5811501.852,30.588,3.358,-14.421,-244.034,-37.82311225,144.7862274
5258,Exit,54,4,LSR,305155.817,5811470.584,30.63,4.179,-17.22,-275.302,-37.82339326,144.7861872
5258,Exit,54,5,LSR,305155.631,5811463.622,30.625,3.466,-17.406,-282.264,-37.82345592,144.7861832
5258,Enter,54,1,LSR,305189.336,5811800.985,32.398,4.6,16.299,55.099,-37.82042468,144.7866567
5258,Enter,54,2,LSR,305195.083,5811809.486,32.141,4.659,22.046,63.6,-37.82034935,144.7867242
5258,Enter,54,3,LSR,305197.949,5811814.502,32.082,5.652,24.912,68.616,-37.82030478,144.7867581
5258,Enter,54,4,LSR,305197.872,5811814.261,32.085,5.535,24.835,68.375,-37.82030694,144.7867572
5258,Enter,54,5,LSR,305199.412,5811818.899,32.069,5.852,26.375,73.013,-37.82026549,144.7867759
5258,Enter,54,6,LSR,305199.283,5811818.467,32.068,5.9,26.246,72.581,-37.82026936,144.7867743
5258,Enter,54,7,LSR,305200.012,5811823.418,32.082,5.492,26.975,77.532,-37.82022492,144.786784
5258,Enter,54,8,LSR,305203.448,5811864.199,32.255,5.166,30.411,118.313,-37.81985836,144.7868339
5258,Enter,54,9,LSR,305215.203,5812011.675,33.064,5.711,42.166,265.789,-37.81853264,144.7870071
5258,NA,55,1,SL,305204.522,5811997.072,33.419,10.945,31.485,251.186,-37.81866188,144.7868819
5258,NA,55,2,SL,305206.463,5811993.23,33.223,10.945,33.426,247.344,-37.8186969,144.7869029
5258,NA,55,3,SL,305207.305,5811992.111,33.18,8.984,34.268,246.225,-37.81870715,144.7869121
5258,NA,55,4,SL,305210.403,5811985.628,33.011,8.984,37.366,239.742,-37.8187662,144.7869456
5258,Exit,56,1,LSR,305184.241,5811734.86,32.15,4.906,11.204,-11.026,-37.82101915,144.7865811
5258,Exit,56,2,LSR,305186.856,5811728.373,31.954,4.906,13.819,-17.513,-37.82107813,144.786609
5258,Exit,56,3,LSR,305187.579,5811727.393,31.922,4.495,14.542,-18.493,-37.82108711,144.786617
5258,Exit,56,4,LSR,305188.793,5811724.646,31.86,4.79,15.756,-21.24,-37.82111211,144.78663
5258,Exit,56,5,LSR,305190.524,5811720.042,31.786,5.569,17.487,-25.844,-37.82115394,144.7866484
5258,Exit,56,6,LSR,305191.117,5811716.22,31.75,5.52,18.08,-29.666,-37.82118849,144.7866541
5258,Exit,56,7,LSR,305191.114,5811711.749,31.663,5.212,18.077,-34.137,-37.82122876,144.7866529
5258,Exit,56,8,LSR,305174.159,5811505.199,28.5,5.299,1.122,-240.687,-37.82308542,144.7864048
5258,Exit,56,9,LSR,305173.82,5811501.233,28.444,5.313,0.783,-244.653,-37.82312107,144.7863999
5258,Exit,56,10,LSR,305173.203,5811497.471,28.616,5.913,0.166,-248.415,-37.82315482,144.7863919
5258,Exit,56,11,LSR,305172.082,5811480.874,28.153,5.389,-0.955,-265.012,-37.82330406,144.7863747
5258,NA,57,1,SL,305163.633,5811485.374,30.443,7.935,-9.404,-260.512,-37.82326172,144.7862799
5258,NA,57,2,SL,305168.111,5811490.724,30.14,7.935,-4.926,-255.162,-37.8232145,144.7863322
5258,NA,57,3,SL,305169.942,5811492.127,30.021,9.006,-3.095,-253.759,-37.82320225,144.7863534
5258,NA,58,1,RT1,305164.898,5811604.359,30.741,0,-8.139,-141.527,-37.82219036,144.7863263
5258,NA,58,2,RT1,305163.902,5811593.794,30.653,0.562,-9.135,-152.092,-37.8222853,144.7863122
5258,NA,58,3,RT1,305159.761,5811560.757,30.557,3.583,-13.276,-185.129,-37.82258197,144.7862563
5258,NA,58,4,RT1,305155.167,5811506.611,30.583,4.434,-17.87,-239.275,-37.82306865,144.7861895
5258,NA,58,5,RT1,305154.193,5811502.621,30.556,6.302,-18.844,-243.265,-37.82310438,144.7861774
5258,NA,58,6,RT1,305151.258,5811493.796,30.538,10.983,-21.779,-252.09,-37.82318323,144.7861417
5258,NA,58,7,RT1,305149.681,5811491.336,30.525,10.983,-23.356,-254.55,-37.82320505,144.7861231
5258,NA,59,1,RT1,305142.788,5811465.076,30.42,3.165,-30.249,-280.81,-37.82344009,144.7860378
5258,NA,59,2,RT1,305143.861,5811475.662,30.429,3.497,-29.176,-270.224,-37.82334497,144.7860528
5258,NA,59,3,RT1,305145.196,5811479.761,30.453,5.438,-27.841,-266.125,-37.82330834,144.7860691
5258,NA,59,4,RT1,305149.681,5811491.336,30.497,12.397,-23.356,-254.55,-37.82320505,144.7861231
5258,Exit,60,1,L1,305192.033,5811774.544,32.171,9.172,18.996,28.658,-37.8206634,144.7866802
