1,65,1,8,1,Left
2,61,1,7,1,Straight
3,62,1,7,1,Straight
5,55,3,5,2,Straight
6,56,3,5,2,Straight
8,64,4,6,3,Straight
9,56,4,5,3,Right
11,62,2,7,4,Left
10,65,2,8,4,Straight
4,64,1,6,5,Right
7,65,3,8,6,Right
8,61,4,7,7,Left
10,55,2,5,8,Left

