3899Ref,305588.41,5809085.912,19.371,-37.84496292,144.7904582,CENTRE_ROUND_MANHOLE_COVER,,,,,,
3899,Exit,60,2,LBL,305526.552,5809105.076,19.295,1.47,-61.858,19.164,-37.84477713,144.7897608
3899,Exit,61,1,LT1,305577.276,5809076.743,18.924,0,-11.134,-9.169,-37.84504313,144.7903293
3899,Exit,61,2,LT1,305575.196,5809076.66,18.956,0.691,-13.214,-9.252,-37.84504343,144.7903056
3899,Exit,61,3,LT1,305569.345,5809075.755,18.938,3.592,-19.065,-10.157,-37.84505033,144.7902389
3899,Exit,61,4,LT1,305569.59,5809075.711,18.935,3.44,-18.82,-10.201,-37.84505078,144.7902417
3899,Exit,61,5,LT1,305561.123,5809076.026,18.94,4.156,-27.287,-9.886,-37.84504614,144.7901456
3899,Exit,61,6,LT1,305546.675,5809077.12,18.957,4.171,-41.735,-8.792,-37.84503321,144.7899818
3899,Exit,61,7,LT1,305524.881,5809079.156,18.996,3.717,-63.529,-6.756,-37.84501022,144.7897348
3899,Exit,62,1,L1,305589.176,5809075.05,18.898,8.341,0.766,-10.862,-37.84506091,144.790464
3899,Exit,62,2,L1,305577.973,5809078.487,18.968,3.568,-10.437,-7.425,-37.84502757,144.7903376
3899,Exit,62,3,L1,305525.134,5809083.035,19.133,4.06,-63.276,-2.877,-37.84497534,144.7897387
3899,Exit,63,1,L2,305589.642,5809081.127,19.068,3.806,1.232,-4.785,-37.84500628,144.7904709
3899,Exit,63,2,L2,305559.399,5809083.921,19.141,3.637,-29.011,-1.991,-37.84497467,144.7901281
3899,Exit,63,3,L2,305525.375,5809086.736,19.244,3.357,-63.035,0.824,-37.84494206,144.7897425
