3904Ref,306837.192,5808943.719,16.094,-37.84650897,144.8046033,CENTRE_ROUND_MANHOLE_COVER,,,,,,
3904,Enter,1,1,L1LT1,306841.445,5808917.142,15.805,5.03,4.253,-26.577,-37.84674923,144.8046445
3904,Enter,1,2,L1LT1,307041.199,5808892.012,15.366,4.851,204.007,-51.707,-37.84701786,144.8069066
3904,Enter,2,1,L2,306840.634,5808921.478,15.926,3.381,3.442,-22.241,-37.84671001,144.8046365
3904,Enter,2,2,L2,307041.711,5808895.998,15.495,3.188,204.519,-47.721,-37.84698207,144.8069135
3904,Enter,3,1,RT1,306839.97,5808925.022,16.045,3.483,2.778,-18.697,-37.84667795,144.8046299
3904,Enter,3,2,RT1,306872.511,5808920.9,16.07,3.29,35.319,-22.819,-37.84672197,144.8049984
3904,Enter,3,3,RT1,306911.5,5808914.114,15.78,0.005,74.308,-29.605,-37.84679134,144.8054394
3904,Enter,4,1,L1,306805.705,5808941.251,16.268,4.416,-31.487,-2.468,-37.84652452,144.8042451
3904,Enter,4,2,L1,306727.301,5808951.048,16.497,3.75,-109.891,7.329,-37.84641967,144.8033572
3904,Enter,4,3,L1,306715.254,5808952.737,16.483,3.513,-121.938,9.018,-37.84640191,144.8032208
3904,Enter,4,4,L1,306697.951,5808955.669,16.575,3.473,-139.241,11.95,-37.84637183,144.8030251
3904,Enter,4,5,L1,306664.47,5808962.435,16.656,3.449,-172.722,18.716,-37.84630379,144.8026466
3904,Enter,4,6,L1,306561.071,5808985.716,16.919,3.553,-276.121,41.997,-37.84607219,144.8014784
3904,Enter,4,7,L1,306529.022,5808992.599,16.825,3.361,-308.17,48.88,-37.84600339,144.8011163
3904,Enter,5,1,L2,306805.128,5808937.291,16.291,3.59,-32.064,-6.428,-37.84656007,144.8042374
3904,Enter,5,2,L2,306731.728,5808946.637,16.609,3.75,-105.464,2.918,-37.84646034,144.8034063
3904,Enter,5,3,L2,306712.519,5808949.584,16.592,3.581,-124.673,5.865,-37.84642972,144.8031889
3904,Enter,5,4,L2,306694.348,5808952.778,16.687,3.553,-142.844,9.059,-37.8463971,144.8029834
3904,Enter,5,5,L2,306661.975,5808959.388,16.768,3.557,-175.217,15.669,-37.84633071,144.8026174
3904,Enter,5,6,L2,306563.233,5808981.618,16.84,3.511,-273.959,37.899,-37.84610955,144.8015019
3904,Enter,5,7,L2,306528.295,5808989.161,16.745,3.667,-308.897,45.442,-37.8460342,144.8011071
3904,Enter,6,1,RT1,306804.637,5808933.933,16.309,3.199,-32.555,-9.786,-37.84659021,144.804231
3904,Enter,6,2,RT1,306758.426,5808939.622,16.625,3.12,-78.766,-4.097,-37.84652918,144.8037076
3904,Enter,6,3,RT1,306726.877,5808945.482,16.66,0.001,-110.315,1.763,-37.84646971,144.8033509
3904,Enter,7,1,RT1,306815.866,5808913.907,15.677,3.145,-21.326,-29.812,-37.84677295,144.8043532
3904,Enter,7,2,RT1,306814.294,5808900.181,15.974,3.248,-22.898,-43.538,-37.84689624,144.8043316
3904,Enter,8,1,LT1,306825.705,5808953.191,16.083,3.928,-11.487,9.472,-37.84642122,144.8044754
3904,Enter,8,2,LT1,306825.727,5808956.156,16.072,3.552,-11.465,12.437,-37.84639452,144.8044764
3904,Enter,8,3,LT1,306826.429,5808964.501,16.053,3.693,-10.763,20.782,-37.84631951,144.8044866
3904,Enter,9,1,L1RT1,306821.956,5808953.395,16.131,3.554,-15.236,9.676,-37.84641859,144.8044329
3904,Enter,9,2,L1RT1,306822.82,5808964.793,16.119,3.544,-14.372,21.074,-37.84631612,144.8044457
3904,NA,50,1,STOP_LINE,306820.182,5808953.492,16.17,0,-17.01,9.773,-37.84641734,144.8044127
3904,NA,50,2,STOP_LINE,306823.731,5808953.298,16.092,0,-13.461,9.579,-37.84641984,144.804453
3904,NA,50,3,STOP_LINE,306827.679,5808953.083,16.075,0,-9.513,9.364,-37.84642261,144.8044978
3904,NA,51,1,STOP_LINE,306804.406,5808932.35,16.318,0,-32.786,-11.369,-37.84660442,144.8042279
3904,NA,51,2,STOP_LINE,306806.024,5808943.436,16.256,0,-31.168,-0.283,-37.84650491,144.8042493
3904,NA,52,1,STOP_LINE,306809.763,5808914.788,15.671,0,-27.429,-28.931,-37.84676372,144.8042841
3904,NA,52,2,STOP_LINE,306817.422,5808913.682,15.678,0,-19.77,-30.037,-37.84677531,144.8043708
3904,NA,53,1,STOP_LINE,306839.633,5808926.825,16.101,0,2.441,-16.894,-37.84666164,144.8046265
3904,NA,53,2,STOP_LINE,306841.931,5808914.547,15.747,0,4.739,-29.172,-37.84677271,144.8046494
3904,Exit,54,1,L1,306817.145,5808953.529,16.146,6.024,-20.047,9.81,-37.84641637,144.8043783
3904,Exit,54,2,L1,306818.391,5808965.186,16.078,5.37,-18.801,21.467,-37.84631164,144.8043955
3904,Enter,55,1,LT1,306814.919,5808959.51,16.076,5.781,-22.273,15.791,-37.84636203,144.8043546
3904,Enter,55,2,LT1,306811.684,5808955.355,16.1,5.781,-25.508,11.636,-37.84639876,144.8043167
3904,Enter,55,3,LT1,306806.376,5808951.648,16.128,4.878,-30.816,7.929,-37.84643102,144.8042554
3904,Enter,55,4,LT1,306803.231,5808950.078,16.135,4.575,-33.961,6.359,-37.8464445,144.8042193
3904,Enter,55,5,LT1,306799.079,5808948.632,16.147,4.055,-38.113,4.913,-37.84645664,144.8041718
3904,Enter,55,6,LT1,306793.432,5808947.747,16.176,3.629,-43.76,4.028,-37.84646342,144.8041074
3904,Enter,55,7,LT1,306788.953,5808947.967,16.201,3.1,-48.239,4.248,-37.84646049,144.8040566
3904,Enter,55,8,LT1,306766.734,5808950.575,16.331,2.894,-70.458,6.856,-37.84643229,144.8038049
3904,Enter,55,9,LT1,306726.742,5808954.171,16.421,0.005,-110.45,10.452,-37.84639143,144.8033517
3904,Enter,56,1,LBL,306807.704,5808943.994,16.239,1.499,-29.488,0.275,-37.84650024,144.8042685
3904,Enter,56,2,LBL,306785.067,5808946.447,16.257,0.755,-52.125,2.728,-37.84647335,144.804012
3904,Enter,56,3,LBL,306731.261,5808952.994,16.422,1.044,-105.931,9.275,-37.84640298,144.8034027
3904,Enter,56,4,LBL,306715.814,5808955.128,16.439,1.385,-121.378,11.409,-37.84638049,144.8032278
