2512Ref,308984.841,5811690.04,22,-37.8222262,144.8297214,CENTRE_ROUND_MANHOLE_COVER,,,,,,
2512,Enter,13,3,RT2,308985.839,5811626.092,21.632,3.042,0.998,-63.948,-37.82280236,144.8297158
2512,Enter,13,4,RT2,308973.039,5811504.782,22.076,3.529,-11.802,-185.258,-37.82389229,144.8295385
2512,Enter,13,5,RT2,308972.002,5811492.587,22.14,3.859,-12.839,-197.453,-37.82400191,144.8295235
2512,Crosswalk,14,1,CROSSWALK,309009.409,5811681.859,22.134,2.128,24.568,-8.181,-37.82230502,144.8299982
2512,Crosswalk,14,2,CROSSWALK,308998.8,5811676.517,21.783,2.74,13.959,-13.523,-37.82235091,144.8298763
2512,Crosswalk,14,3,CROSSWALK,308987.57,5811673.551,21.541,2.517,2.729,-16.489,-37.82237528,144.829748
2512,Crosswalk,15,1,CROSSWALK,308977.043,5811709.704,21.572,2.664,-7.798,19.664,-37.82204746,144.829638
2512,Crosswalk,15,2,CROSSWALK,308983.491,5811692.114,21.863,2.668,-1.35,2.074,-37.82220723,144.8297066
2512,Crosswalk,15,3,CROSSWALK,308984.607,5811687.858,21.858,2.682,-0.234,-2.182,-37.8222458,144.8297182
2512,Crosswalk,15,4,CROSSWALK,308985.936,5811676.634,21.581,2.311,1.095,-13.406,-37.82234717,144.8297303
2512,Crosswalk,16,1,CROSSWALK,308967.134,5811661.328,21.011,2.679,-17.707,-28.712,-37.82248109,144.8295128
2512,Crosswalk,16,2,CROSSWALK,308974.408,5811667.232,21.184,2.592,-10.433,-22.808,-37.82242944,144.8295969
2512,NA,50,1,STOP_LINE,308973.97,5811708.549,21.55,0,-10.871,18.509,-37.82205722,144.8296028
2512,NA,50,2,STOP_LINE,308974.517,5811707.027,21.554,0,-10.324,16.987,-37.82207104,144.8296086
2512,NA,50,3,STOP_LINE,308975.572,5811704.257,21.644,0,-9.269,14.217,-37.82209621,144.8296199
2512,NA,50,4,STOP_LINE,308980.05,5811692.017,21.755,0,-4.791,1.977,-37.82220739,144.8296675
2512,NA,51,1,STOP_LINE,308972.394,5811655.857,21.249,0,-12.447,-34.183,-37.82253147,144.829571
2512,NA,51,2,STOP_LINE,308978.827,5811661.6,21.277,0,-6.014,-28.44,-37.82248109,144.8296456
2512,NA,52,1,STOP_LINE,308987.02,5811670.281,21.553,0,2.179,-19.759,-37.82240461,144.8297409
2512,NA,52,2,STOP_LINE,308991.166,5811671.266,21.643,0,6.325,-18.774,-37.82239661,144.8297882
2512,NA,52,3,STOP_LINE,308995.324,5811672.338,21.799,0,10.483,-17.702,-37.82238783,144.8298357
2512,NA,53,1,STOP_LINE,309014.851,5811687.775,22.305,0,30.01,-2.265,-37.82225288,144.8300615
2512,NA,53,2,STOP_LINE,309015.128,5811690.779,22.421,0,30.287,0.739,-37.82222588,144.8300655
2512,NA,53,3,STOP_LINE,309015.433,5811694.306,22.536,0,30.592,4.266,-37.82219418,144.8300699
2512,NA,53,4,STOP_LINE,309015.668,5811696.936,22.586,0,30.827,6.896,-37.82217054,144.8300732
2512,NA,53,5,STOP_LINE,309016.239,5811703.494,22.938,0,31.398,13.454,-37.82211159,144.8300814
2512,Exit,54,1,L1,308984.581,5811678.087,21.593,3.605,-0.26,-11.953,-37.8223338,144.8297153
2512,Exit,54,2,L1,308899.281,5811647.899,19.256,0.023,-85.56,-42.141,-37.82258783,144.8287388
2512,Exit,55,1,L2,308984.077,5811681.846,21.715,3.832,-0.764,-8.194,-37.82229984,144.8297105
2512,Exit,55,2,L2,308898.445,5811649.965,19.335,4.449,-86.396,-40.075,-37.82256905,144.8287298
2512,Exit,55,3,L2,308860.325,5811635.996,18.757,3.93,-124.516,-54.044,-37.82268688,144.8282933
2512,Exit,55,4,L2,308799.892,5811613.178,18.578,3.928,-184.949,-76.862,-37.82287974,144.8276011
2512,Exit,55,5,L2,308747.265,5811593.595,18.673,3.484,-237.576,-96.445,-37.82304509,144.8269984
2512,Exit,56,1,L3,308983.573,5811685.601,21.795,3.552,-1.268,-4.439,-37.82226591,144.8297058
2512,Exit,56,2,L3,308959.254,5811676.368,21.014,3.227,-25.587,-13.672,-37.82234398,144.8294273
2512,Exit,56,3,L3,308857.734,5811638.939,18.814,3.394,-127.107,-51.101,-37.82265983,144.8282647
2512,Exit,56,4,L3,308745.592,5811596.841,18.62,3.791,-239.249,-93.199,-37.8230155,144.8269803
2512,Exit,57,1,L1,309016.009,5811722.455,22.565,3.338,31.168,32.415,-37.82194077,144.8300838
2512,Exit,57,2,L1,309039.369,5811731.165,22.866,3.49,54.528,41.125,-37.82186721,144.8303514
2512,Exit,57,3,L1,309069.224,5811741.755,23.032,3.033,84.383,51.715,-37.82177807,144.8306931
2512,Exit,58,1,L2,309017.288,5811719.255,22.614,3.553,32.447,29.215,-37.82196986,144.8300975
2512,Exit,58,2,L2,309070.523,5811738.64,23.169,3.708,85.682,48.6,-37.8218064,144.8307071
2512,Exit,59,1,L2,309018.927,5811714.437,22.691,6.564,34.086,24.397,-37.82201359,144.8301148
2512,Exit,59,2,L2,309028.228,5811718.982,22.826,4.623,43.387,28.942,-37.8219746,144.8302216
2512,Exit,59,3,L2,309038.933,5811723.432,22.935,3.641,54.092,33.392,-37.82193676,144.8303444
2512,Exit,59,4,L2,309055.406,5811729.585,23.143,3.315,70.565,39.545,-37.82188479,144.830533
2512,Exit,59,5,L2,309071.908,5811735.319,23.242,3.467,87.067,45.279,-37.8218366,144.8307219
2512,Enter,60,1,RT1,309008.656,5811669.454,21.742,13.624,23.815,-20.586,-37.82241659,144.8299864
2512,Enter,60,2,RT1,309010.805,5811673.196,21.804,6.9,25.964,-16.844,-37.82238334,144.8300117
2512,Enter,60,3,RT1,309011.598,5811673.968,21.816,5.935,26.757,-16.072,-37.82237655,144.830021
2512,Enter,60,4,RT1,309026.611,5811687.461,22.416,4.695,41.77,-2.579,-37.82225817,144.830195
2512,Enter,60,5,RT1,309029.619,5811689.834,22.514,4.452,44.778,-0.206,-37.82223742,144.8302298
2512,Enter,60,6,RT1,309032.619,5811691.703,22.588,4.281,47.778,1.663,-37.82222122,144.8302643
2512,Enter,60,7,RT1,309035.895,5811693.466,22.698,3.673,51.054,3.426,-37.82220602,144.830302
2512,Enter,60,8,RT1,309042.907,5811696.425,22.775,2.971,58.066,6.385,-37.82218084,144.8303824
2512,Enter,60,9,RT1,309051.253,5811699.244,22.774,3.501,66.412,9.204,-37.8221572,144.8304779
2512,Enter,60,10,RT1,309063.789,5811703.964,22.907,3.384,78.948,13.924,-37.82211731,144.8306215
2512,Enter,60,11,RT1,309064.824,5811704.624,22.918,2.867,79.983,14.584,-37.82211158,144.8306334
2512,Enter,60,12,RT1,309082.064,5811710.959,23.017,3.062,97.223,20.919,-37.82205813,144.8308308
2512,Enter,61,1,RT1,308985.502,5811583.614,21.898,4.154,0.661,-106.426,-37.82318488,144.8297008
2512,Enter,61,2,RT1,308985.109,5811582.997,21.908,4.154,0.268,-107.043,-37.82319035,144.8296962
2512,Enter,61,3,RT1,308984.512,5811579.795,21.936,3.526,-0.329,-110.245,-37.82321907,144.8296886
2512,Enter,61,4,RT1,308981.182,5811548.761,22.08,3.434,-3.659,-141.279,-37.82349789,144.8296426
2512,Enter,61,5,RT1,308976.424,5811518.495,21.967,0,-8.417,-171.545,-37.82376949,144.8295805
