17037Ref,308399.619,5808750.797,10.283,-37.84857619,144.8222982,CENTRE_RECTANGULAR_MANHOLE_COVER,,,,,,
17037,NA,54,1,L2,308445.707,5808742.379,10.493,3.594,46.088,-8.418,-37.84866169,144.8228194
17037,NA,54,2,L2,308452.538,5808739.699,10.52,3.485,52.919,-11.098,-37.84868726,144.8228963
17037,NA,54,3,L2,308460.007,5808737.187,10.577,3.645,60.388,-13.61,-37.84871146,144.8229805
17037,NA,54,4,L2,308470.435,5808734.632,10.678,3.532,70.816,-16.165,-37.84873666,144.8230982
17037,NA,54,5,L2,308480.191,5808732.939,10.734,3.514,80.572,-17.858,-37.84875396,144.8232086
17037,NA,54,6,L2,308522.904,5808727.669,10.88,3.204,123.285,-23.128,-37.84881039,144.8236924
17037,NA,54,7,L2,308725.111,5808700.701,11.1,3.45,325.492,-50.096,-37.84909573,144.825982
17037,NA,54,8,L2,308818.656,5808689.734,15.867,3.275,419.037,-61.063,-37.84921412,144.8270416
17037,NA,55,1,L1,308817.668,5808679.595,15.787,3.561,418.049,-71.202,-37.84930523,144.8270277
17037,NA,55,2,L1,308745.898,5808687.805,11.821,3.529,346.279,-62.992,-37.84921624,144.8262147
17037,NA,55,3,L1,308519.504,5808714.896,10.846,3.572,119.885,-35.901,-37.84892472,144.8236504
17037,NA,55,4,L1,308504.625,5808717.031,10.801,3.538,105.006,-33.766,-37.84890237,144.8234819
17037,NA,55,5,L1,308493.716,5808718.995,10.752,3.528,94.097,-31.802,-37.84888239,144.8233585
17037,NA,55,6,L1,308466.241,5808725.679,10.69,3.192,66.622,-25.118,-37.84881641,144.8230482
17037,NA,55,7,L1,308460.34,5808726.784,10.655,3.225,60.721,-24.013,-37.84880522,144.8229815
17037,NA,55,8,L1,308454.809,5808727.034,10.607,3.243,55.19,-23.763,-37.84880181,144.8229187
17037,NA,55,9,L1,308451.359,5808726.807,10.573,3.151,51.74,-23.99,-37.84880313,144.8228795
17037,NA,55,10,L1,308448.652,5808726.375,10.539,3.117,49.033,-24.422,-37.84880645,144.8228486
17037,NA,55,11,L1,308445.96,5808725.727,10.54,3.168,46.341,-25.07,-37.84881172,144.8228179
17037,NA,55,12,L1,308443.153,5808724.661,10.545,3.426,43.534,-26.136,-37.84882073,144.8227857
17037,NA,55,13,L1,308440.492,5808722.822,10.537,3.426,40.873,-27.975,-37.84883674,144.822755
17037,NA,56,1,L2,308817.993,5808682.933,15.878,3.145,418.374,-67.864,-37.84927524,144.8270323
17037,NA,56,2,L2,308741.33,5808691.731,11.699,3.187,341.711,-59.066,-37.84917992,144.8261638
17037,NA,56,3,L2,308519.752,5808718.278,10.909,3.198,120.133,-32.519,-37.84889431,144.8236541
17037,NA,56,4,L2,308505.098,5808720.349,10.859,3.165,105.479,-30.448,-37.84887258,144.8234882
17037,NA,56,5,L2,308493.565,5808722.456,10.832,3.214,93.946,-28.341,-37.84885118,144.8233577
17037,NA,56,6,L2,308465.955,5808729.016,10.702,3.183,66.336,-21.781,-37.8487863,144.8230459
17037,NA,56,7,L2,308459.718,5808730.205,10.636,3.434,60.099,-20.592,-37.84877428,144.8229753
17037,NA,56,8,L2,308454.936,5808730.428,10.601,3.544,55.317,-20.369,-37.84877127,144.8229211
17037,NA,56,9,L2,308453.053,5808730.255,10.585,3.359,53.434,-20.542,-37.84877243,144.8228997
17037,NA,56,10,L2,308447.844,5808729.494,10.553,3.321,48.225,-21.303,-37.84877819,144.8228403
17037,NA,56,11,L2,308443.317,5808728.299,10.602,3.362,43.698,-22.498,-37.848788,144.8227885
17037,NA,57,1,L2,308427.214,5808749.3,10.44,3.656,27.595,-1.497,-37.84859547,144.8226112
17037,NA,57,2,L2,308430.756,5808748.579,10.454,3.921,31.137,-2.218,-37.84860271,144.8226512
17037,NA,57,3,L2,308433.218,5808747.52,10.472,4.382,33.599,-3.277,-37.84861276,144.8226789
17037,NA,57,4,L2,308436.199,5808745.858,10.51,5.84,36.58,-4.939,-37.84862836,144.8227124
17037,NA,57,5,L2,308438.858,5808743.821,10.536,7.819,39.239,-6.976,-37.84864726,144.822742
17037,NA,57,6,L2,308439.244,5808740.3,10.582,5.812,39.625,-10.497,-37.84867906,144.8227455
17037,NA,57,7,L2,308439.061,5808736.832,10.652,4.357,39.442,-13.965,-37.84871025,144.8227425
17037,NA,57,8,L2,308438.467,5808733.784,10.685,3.651,38.848,-17.013,-37.84873758,144.8227349
17037,NA,57,9,L2,308437.431,5808730.778,10.69,3.654,37.812,-20.019,-37.84876444,144.8227223
17037,NA,57,10,L2,308435.091,5808727.162,10.635,4.161,35.472,-23.635,-37.84879651,144.8226948
17037,NA,57,11,L2,308433.5,5808725.738,10.613,4.154,33.881,-25.059,-37.848809,144.8226764
17037,NA,57,12,L2,308431.325,5808724.302,10.583,4.517,31.706,-26.495,-37.84882148,144.8226513
17037,NA,57,13,L2,308428.243,5808723.504,10.535,4.363,28.624,-27.293,-37.84882802,144.8226161
17037,NA,57,14,L2,308425.459,5808723.364,10.512,4.157,25.84,-27.433,-37.8488287,144.8225844
17037,NA,57,15,L2,308421.551,5808724.002,10.512,4.122,21.932,-26.795,-37.84882213,144.8225402
17037,NA,57,16,L2,308417.659,5808725.367,10.535,5.437,18.04,-25.43,-37.84880902,144.8224963
17037,NA,57,17,L2,308414.732,5808728.326,10.565,5.275,15.113,-22.471,-37.84878175,144.8224639
17037,NA,57,18,L2,308413.551,5808730.185,10.575,5.463,13.932,-20.612,-37.84876476,144.822451
17037,NA,57,19,L2,308412.294,5808733.18,10.556,5.489,12.675,-17.617,-37.84873752,144.8224375
17037,NA,57,20,L2,308411.696,5808736.544,10.526,5.957,12.077,-14.253,-37.8487071,144.8224316
17037,NA,57,21,L2,308411.753,5808738.545,10.511,6.136,12.134,-12.252,-37.84868909,144.8224327
17037,NA,57,22,L2,308412.613,5808742.759,10.461,7.003,12.994,-8.038,-37.84865131,144.8224436
17037,NA,57,23,L2,308414.578,5808744.62,10.441,5.498,14.959,-6.177,-37.84863497,144.8224664
17037,NA,57,24,L2,308417.155,5808746.449,10.424,4.25,17.536,-4.348,-37.84861903,144.8224962
17037,NA,57,25,L2,308419.516,5808747.907,10.412,3.902,19.897,-2.89,-37.8486064,144.8225234
17037,NA,57,26,L2,308421.096,5808748.586,10.411,3.934,21.477,-2.211,-37.84860062,144.8225415
17037,NA,57,27,L2,308424.708,5808749.276,10.427,3.604,25.089,-1.521,-37.84859516,144.8225827
17037,NA,57,28,L2,308427.083,5808749.301,10.439,3.672,27.464,-1.496,-37.84859543,144.8226097
17037,NA,58,1,LBL,308142.328,5808751.475,10.029,1.956,-257.291,0.678,-37.84851598,144.819376
17037,NA,58,2,LBL,308289.712,5808734.209,10.006,1.914,-109.907,-16.588,-37.84870249,144.8210454
17037,NA,58,3,LBL,308351.546,5808725.676,10.162,3.403,-48.073,-25.121,-37.84879234,144.8217455
17037,NA,58,4,LBL,308368.982,5808724.738,10.264,1.294,-30.637,-26.059,-37.84880445,144.8219433
17037,NA,59,1,LBL,308145.158,5808776.796,10.317,1.415,-254.461,25.999,-37.84828852,144.8194148
17037,NA,59,2,LBL,308283.627,5808760.658,10.007,1.455,-115.992,9.861,-37.84846299,144.8209833
17037,NA,59,3,LBL,308334.261,5808754.479,10.265,1.64,-65.358,3.682,-37.84852929,144.8215568
17037,NA,59,4,LBL,308353.477,5808751.633,10.35,1.918,-46.142,0.836,-37.84855896,144.8217743
17037,NA,59,5,LBL,308375.296,5808747.401,10.446,1.755,-24.323,-3.396,-37.84860166,144.822021
17037,NA,60,1,LBL,308817.406,5808676.911,15.705,1.831,417.787,-73.886,-37.84932935,144.827024
17037,NA,60,2,LBL,308724.639,5808687.544,10.996,1.973,325.02,-63.253,-37.84921413,144.8259731
17037,NA,60,3,LBL,308688.131,5808692.146,10.456,1.526,288.512,-58.651,-37.84916502,144.8255597
17037,NA,60,4,LBL,308521.72,5808712.034,10.779,1.51,122.101,-38.763,-37.84895096,144.8236748
17037,NA,60,5,LBL,308509.071,5808713.745,10.761,1.596,109.452,-37.052,-37.8489329,144.8235315
17037,NA,60,6,LBL,308498.626,5808715.505,10.723,1.496,99.007,-35.292,-37.84891485,144.8234134
17037,NA,60,7,LBL,308490.416,5808717.135,10.7,1.507,90.797,-33.662,-37.84889845,144.8233206
17037,NA,60,8,LBL,308478.733,5808719.871,10.664,1.826,79.114,-30.926,-37.84887135,144.8231886
17037,NA,61,1,LBL,308470.544,5808741.028,10.478,1.395,70.925,-9.769,-37.84867908,144.8231012
17037,NA,61,2,LBL,308479.82,5808739.249,10.528,1.554,80.201,-11.548,-37.84869705,144.8232061
17037,NA,61,3,LBL,308700.097,5808710.075,10.505,1.762,300.478,-40.722,-37.84900605,144.8257003
17037,NA,61,4,LBL,308749.509,5808703.914,11.794,1.929,349.89,-46.883,-37.84907191,144.8262599
17037,NA,61,5,LBL,308756.623,5808702.816,12.1,1.491,357.004,-47.981,-37.84908329,144.8263404
17037,NA,61,6,LBL,308819.207,5808695.593,15.675,1.555,419.588,-55.204,-37.84916147,144.8270494
17037,NA,62,1,SL,308592.919,5808725.291,10.666,0.01,193.3,-25.506,-37.84884651,144.824487
17037,NA,62,2,SL,308627.957,5808722.074,10.553,3.051,228.338,-28.723,-37.84888284,144.8248841
17037,NA,62,3,SL,308693.791,5808713.458,10.398,3.282,294.172,-37.339,-37.84897426,144.8256296
17037,NA,62,4,SL,308696.197,5808713.345,10.419,3.692,296.578,-37.452,-37.84897578,144.8256569
17037,NA,62,5,SL,308699.45,5808713.528,10.455,4.913,299.831,-37.269,-37.84897482,144.8256939
17037,NA,62,6,SL,308702.936,5808714.074,10.514,6.892,303.317,-36.723,-37.84897063,144.8257336
17037,NA,62,7,SL,308704.819,5808714.603,10.551,8.421,305.2,-36.194,-37.84896626,144.8257552
17037,NA,62,8,SL,308704.022,5808714.006,10.527,7.219,304.403,-36.791,-37.84897147,144.8257459
17037,NA,62,9,SL,308706.661,5808714.977,10.557,7.895,307.042,-35.82,-37.84896328,144.8257762
17037,NA,62,10,SL,308708.186,5808715.917,10.583,8.384,308.567,-34.88,-37.84895513,144.8257937
17037,NA,62,11,SL,308707.999,5808715.706,10.574,8.213,308.38,-35.091,-37.84895699,144.8257916
17037,NA,62,12,SL,308710.286,5808717.616,10.653,8.45,310.667,-33.181,-37.84894027,144.825818
17037,NA,62,13,SL,308713.124,5808721.809,10.76,8.104,313.505,-28.988,-37.8489031,144.8258514
17037,NA,62,14,SL,308719.264,5808733.753,10.868,6.854,319.645,-17.044,-37.84879681,144.8259243
17037,NA,62,15,SL,308722.481,5808738.049,10.835,6.399,322.862,-12.748,-37.8487588,144.825962
17037,NA,62,16,SL,308726.281,5808741.821,10.817,6.436,326.662,-8.976,-37.84872562,144.8260061
17037,NA,62,17,SL,308730.375,5808745.111,10.799,6.697,330.756,-5.686,-37.84869685,144.8260535
17037,NA,62,18,SL,308735.546,5808748.332,10.766,7.056,335.927,-2.465,-37.84866892,144.8261131
17037,NA,62,19,SL,308740.751,5808750.936,10.732,7.244,341.132,0.139,-37.84864656,144.8261729
17037,NA,62,20,SL,308749.587,5808754.552,10.731,7.143,349.968,3.755,-37.84861585,144.8262742
17037,NA,63,1,LT1,308738.469,5808706.189,11.34,9.878,338.85,-44.608,-37.8490491,144.8261351
17037,NA,63,2,LT1,308731.635,5808709.649,11.012,9.878,332.016,-41.148,-37.8490165,144.8260584
17037,NA,63,3,LT1,308729.002,5808714.296,10.947,8.622,329.383,-36.501,-37.8489741,144.8260298
17037,NA,63,4,LT1,308727.222,5808718.891,10.934,8.429,327.603,-31.906,-37.84893234,144.8260108
17037,NA,63,5,LT1,308726.521,5808722.472,10.907,8.271,326.902,-28.325,-37.84889994,144.8260037
17037,NA,63,6,LT1,308726.469,5808726.155,10.884,8.024,326.85,-24.642,-37.84886676,144.8260041
17037,NA,63,7,LT1,308727.327,5808730.823,10.858,8.318,327.708,-19.974,-37.84882489,144.8260151
17037,NA,63,8,LT1,308728.359,5808733.244,10.836,8.103,328.74,-17.553,-37.84880331,144.8260275
17037,NA,63,9,LT1,308730.001,5808735.844,10.817,7.467,330.382,-14.953,-37.84878023,144.8260468
17037,NA,63,10,LT1,308729.913,5808735.552,10.821,7.725,330.294,-15.245,-37.84878284,144.8260457
17037,NA,63,11,LT1,308731.329,5808737.346,10.797,6.916,331.71,-13.451,-37.84876698,144.8260623
17037,NA,63,12,LT1,308733.889,5808739.445,10.785,6.629,334.27,-11.352,-37.84874862,144.8260919
17037,NA,63,13,LT1,308736.802,5808741.242,10.766,6.596,337.183,-9.555,-37.84873304,144.8261255
17037,NA,63,14,LT1,308740.575,5808743.051,10.741,6.951,340.956,-7.746,-37.84871754,144.8261688
17037,NA,63,15,LT1,308752.102,5808747.823,10.687,7.221,352.483,-2.974,-37.84867698,144.826301
17037,NA,64,1,L2,308423.224,5808755.558,10.358,0,23.605,4.761,-37.84853827,144.8225675
17037,NA,64,2,L2,308523.205,5808890.012,10.424,3.807,123.586,139.215,-37.8473483,144.8237388
17037,NA,64,3,L2,308528.523,5808897.522,10.411,3.402,128.904,146.725,-37.84728177,144.8238012
17037,NA,64,4,L2,308550.829,5808927.696,10.518,3.683,151.21,176.899,-37.84701469,144.8240625
17037,NA,65,1,L1,308417.967,5808754.299,10.317,6.647,18.348,3.502,-37.8485485,144.8225075
17037,NA,65,2,L1,308428.637,5808768.537,10.239,5.41,29.018,17.74,-37.84842251,144.8226325
17037,NA,65,3,L1,308442.977,5808788.913,10.146,4.196,43.358,38.116,-37.848242,144.8228007
17037,NA,65,4,L1,308522.987,5808895.9,10.369,3.558,123.368,145.103,-37.84729522,144.8237379
17037,NA,65,5,L1,308547.833,5808929.495,10.388,3.274,148.214,178.698,-37.84699786,144.824029
17037,NA,66,1,RT2,308440.948,5808751.351,10.431,3.758,41.329,0.554,-37.84857988,144.8227677
17037,NA,66,2,RT2,308442.185,5808756.462,10.393,3.922,42.566,5.665,-37.84853411,144.8227832
17037,NA,66,3,RT2,308444.113,5808762.539,10.396,4.134,44.494,11.742,-37.84847978,144.8228067
17037,NA,66,4,RT2,308445.972,5808766.353,10.38,4.098,46.353,15.556,-37.84844582,144.8228288
17037,NA,66,5,RT2,308448.553,5808770.364,10.384,3.937,48.934,19.567,-37.84841024,144.8228592
17037,NA,66,6,RT2,308453.645,5808776.571,10.344,3.459,54.026,25.774,-37.8483554,144.8229186
17037,NA,66,7,RT2,308462.438,5808786.29,10.289,3.492,62.819,35.493,-37.84826972,144.8230211
17037,NA,66,8,RT2,308467.204,5808792.275,10.25,3.402,67.585,41.478,-37.84821681,144.8230768
17037,NA,66,9,RT2,308562.846,5808920.475,10.794,3.233,163.227,169.678,-37.84708225,144.8241971
17037,NA,67,1,RT1,308444.645,5808749.748,10.406,4.136,45.026,-1.049,-37.8485951,144.8228093
17037,NA,67,2,RT1,308445.825,5808754.919,10.375,3.916,46.206,4.122,-37.84854877,144.8228241
17037,NA,67,3,RT1,308447.637,5808760.574,10.381,3.89,48.018,9.777,-37.84849822,144.8228462
17037,NA,67,4,RT1,308449.226,5808764.099,10.357,3.761,49.607,13.302,-37.84846681,144.8228651
17037,NA,67,5,RT1,308451.953,5808768.13,10.326,4.203,52.334,17.333,-37.84843107,144.8228972
17037,NA,67,6,RT1,308456.527,5808774.132,10.297,4.099,56.908,23.335,-37.84837798,144.8229507
17037,NA,67,7,RT1,308466.121,5808785.515,10.205,3.075,66.502,34.718,-37.84827747,144.8230627
17037,NA,67,8,RT1,308469.834,5808790.361,10.18,3.102,70.215,39.564,-37.8482346,144.8231062
17037,NA,67,9,RT1,308565.587,5808918.839,10.908,3.116,165.968,168.042,-37.84709756,144.8242278
17037,NA,68,1,LT1,308459.641,5808743.783,10.425,8.242,60.022,-7.014,-37.84865197,144.8229781
17037,NA,68,2,LT1,308456.105,5808746.786,10.336,8.242,56.486,-4.011,-37.84862418,144.8229387
17037,NA,68,3,LT1,308455.265,5808749.743,10.31,6.908,55.646,-1.054,-37.84859737,144.8229299
17037,NA,68,4,LT1,308454.718,5808753.016,10.284,5.74,55.099,2.219,-37.84856778,144.8229246
17037,NA,68,5,LT1,308455.003,5808757.798,10.251,4.509,55.384,7.001,-37.84852477,144.8229291
17037,NA,68,6,LT1,308455.722,5808760.488,10.241,4.233,56.103,9.691,-37.84850069,144.822938
17037,NA,68,7,LT1,308457.253,5808763.794,10.214,4.101,57.634,12.997,-37.84847124,144.8229562
17037,NA,68,8,LT1,308471.203,5808784.645,10.059,4.054,71.584,33.848,-37.84828637,144.8231202
17037,NA,68,9,LT1,308489.02,5808810.437,10.042,3.329,89.401,59.64,-37.84805782,144.8233294
17037,NA,68,10,LT1,308519.399,5808851.156,10.203,3.258,119.78,100.359,-37.84769746,144.8236853
17037,NA,68,11,LT1,308547.559,5808891.634,10.604,0,147.94,140.837,-37.8473388,144.8240158
17037,NA,69,1,LBL,308420.171,5808762.438,10.194,0,20.552,11.641,-37.84847566,144.8225347
17037,NA,69,2,LBL,308426.311,5808770.335,10.175,0.48,26.692,19.538,-37.84840583,144.8226065
17037,NA,69,3,LBL,308545.848,5808930.686,10.303,1.337,146.229,179.889,-37.84698671,144.8240067
