2581Ref,305385.787,5814659.819,45.963,-37.79471859,144.7896551,CENTRE_ROUND_MANHOLE_COVER,,,,,,
2581,Enter,1,1,LT1,305376.515,5814665.19,45.835,6.012,-9.272,5.371,-37.79466824,144.7895513
2581,Enter,1,2,LT1,305379.793,5814662.168,45.827,6.012,-5.994,2.349,-37.79469616,144.7895877
2581,Enter,1,3,LT1,305380.158,5814661.392,45.835,5.795,-5.629,1.573,-37.79470323,144.7895917
2581,Enter,1,4,LT1,305385.447,5814642.494,45.911,5.098,-0.34,-17.325,-37.79487456,144.7896466
2581,Enter,1,5,LT1,305386.924,5814636.046,45.933,4.635,1.137,-23.773,-37.79493295,144.7896617
2581,Enter,1,6,LT1,305387.616,5814631.072,45.94,4.036,1.829,-28.747,-37.79497789,144.7896682
2581,Enter,1,7,LT1,305387.711,5814627.981,45.95,3.734,1.924,-31.838,-37.79500575,144.7896684
2581,Enter,1,8,LT1,305387.455,5814622.668,45.941,3.45,1.668,-37.151,-37.79505355,144.7896641
2581,Enter,1,9,LT1,305384.823,5814589.811,45.457,3.077,-0.964,-70.008,-37.79534891,144.7896254
2581,Enter,1,10,LT1,305384.064,5814561.91,45.307,0.012,-1.723,-97.909,-37.79560004,144.7896093
2581,Enter,2,1,L1,305393.409,5814653.417,46.266,3.402,7.622,-6.402,-37.79477788,144.7897399
2581,Enter,2,2,L1,305383.523,5814532.499,45.361,3.306,-2.264,-127.32,-37.79586482,144.7895953
2581,Enter,2,3,L1,305381.394,5814512.864,45.382,3.88,-4.393,-146.955,-37.79604121,144.7895658
2581,Enter,2,4,L1,305378.422,5814492.363,45.466,4.021,-7.365,-167.456,-37.79622521,144.7895266
2581,Enter,3,1,L2,305396.693,5814653.081,46.354,3.2,10.906,-6.738,-37.7947816,144.7897771
2581,Enter,3,2,L2,305389.83,5814570.194,45.499,3.114,4.043,-89.625,-37.79552666,144.789677
2581,Enter,3,3,L2,305389.082,5814558.413,45.5,3.502,3.295,-101.406,-37.79563261,144.7896653
2581,Enter,3,4,L2,305386.754,5814530.099,45.485,3.55,0.967,-129.72,-37.79588712,144.7896313
2581,Enter,3,5,L2,305384.998,5814511.929,45.503,3.496,-0.789,-147.89,-37.79605039,144.7896065
2581,Enter,3,6,L2,305383.679,5814501.157,45.526,3.468,-2.108,-158.662,-37.79614713,144.7895886
2581,Enter,3,7,L2,305382.279,5814492.105,45.532,3.675,-3.508,-167.714,-37.79622836,144.7895703
2581,Enter,4,1,L1,305412.891,5814690.36,45.997,3.186,27.104,30.541,-37.7944493,144.789971
2581,Enter,4,2,L1,305414.996,5814715.978,46.08,3.174,29.209,56.159,-37.79421902,144.7900017
2581,Enter,5,1,L2,305409.569,5814690.733,46.113,3.499,23.782,30.914,-37.79444523,144.7899334
2581,Enter,5,2,L2,305411.687,5814716.308,46.206,3.474,25.9,56.489,-37.79421534,144.7899643
2581,Enter,6,1,RT1,305406.252,5814691.105,46.216,3.176,20.465,31.286,-37.79444117,144.7898958
2581,Enter,6,2,RT1,305408.358,5814716.639,46.322,3.216,22.571,56.82,-37.79421165,144.7899266
2581,Enter,7,1,LT1,305395.37,5814702.519,46.152,6.733,9.583,42.7,-37.79433606,144.7897754
2581,Enter,7,2,LT1,305392.158,5814698.749,46.059,6.733,6.371,38.93,-37.79436933,144.7897379
2581,Enter,7,3,LT1,305389.394,5814697.615,45.963,5.924,3.607,37.796,-37.79437895,144.7897062
2581,Enter,7,4,LT1,305385.36,5814696.315,45.847,5.508,-0.427,36.496,-37.7943898,144.7896601
2581,Enter,7,5,LT1,305382.541,5814695.7,45.764,5.35,-3.246,35.881,-37.79439474,144.7896279
2581,Enter,7,6,LT1,305379.814,5814695.438,45.712,5.114,-5.973,35.619,-37.79439652,144.7895969
2581,Enter,7,7,LT1,305376.393,5814695.488,45.668,4.953,-9.394,35.669,-37.79439534,144.7895581
2581,Enter,7,8,LT1,305373.575,5814695.894,45.642,4.776,-12.212,36.075,-37.79439108,144.7895262
2581,Enter,7,9,LT1,305371.093,5814696.536,45.616,4.653,-14.694,36.717,-37.79438477,144.7894982
2581,Enter,7,10,LT1,305368.617,5814697.489,45.607,4.516,-17.17,37.67,-37.79437566,144.7894704
2581,Enter,7,11,LT1,305366.342,5814698.673,45.615,4.328,-19.445,38.854,-37.79436451,144.7894449
2581,Enter,7,12,LT1,305362.752,5814701.29,45.666,4.059,-23.035,41.471,-37.79434018,144.7894048
2581,Enter,7,13,LT1,305361.127,5814702.752,45.677,4.036,-24.66,42.933,-37.79432666,144.7893868
