3480Ref,307278.978,5808894.489,15.135,-37.84704584,144.809608,CENTRE_ROUND_MANHOLE_COVER,,,,,,
3480,Enter,1,1,LT1,307267.591,5808845.011,14.704,4.889,-11.387,-49.478,-37.84748906,144.8094654
3480,Enter,1,2,LT1,307271.139,5808849.57,14.711,5.146,-7.839,-44.919,-37.84744875,144.809507
3480,Enter,1,3,LT1,307272.6,5808850.984,14.707,5.489,-6.378,-43.505,-37.84743632,144.8095239
3480,Enter,1,4,LT1,307275.162,5808852.864,14.689,5.698,-3.816,-41.625,-37.84741993,144.8095535
3480,Enter,1,5,LT1,307277.635,5808854.178,14.694,5.705,-1.343,-40.311,-37.84740862,144.809582
3480,Enter,1,6,LT1,307279.973,5808855.077,14.664,5.263,0.995,-39.412,-37.84740101,144.8096088
3480,Enter,1,7,LT1,307284.017,5808855.543,14.622,3.502,5.039,-38.946,-37.84739767,144.8096548
3480,Enter,1,8,LT1,307287.129,5808855.431,14.591,2.691,8.151,-39.058,-37.84739934,144.8096901
3480,Enter,1,9,LT1,307304.936,5808853.295,14.491,2.505,25.958,-41.194,-37.84742234,144.8098918
3480,Enter,1,10,LT1,307357.789,5808848.035,13.859,0.007,78.811,-46.454,-37.84748088,144.8104907
3480,Enter,2,1,L1,307279.459,5808861.154,14.878,3.235,0.481,-33.335,-37.84734617,144.8096045
3480,Enter,2,2,L1,307388.289,5808847.632,13.547,3.175,109.311,-46.857,-37.84749096,144.810837
3480,Enter,2,3,L1,307425.912,5808844.096,13.073,5.464,146.934,-50.393,-37.84753075,144.8112634
3480,Enter,2,4,L1,307466.985,5808838.534,12.879,4.567,188.007,-55.955,-37.84758952,144.8117284
3480,Enter,2,5,L1,307562.632,5808826.512,12.546,4.385,283.654,-67.977,-37.84771799,144.8128116
3480,Enter,3,1,L2,307281.014,5808864.23,14.956,3.255,2.036,-30.259,-37.8473188,144.809623
3480,Enter,3,2,L2,307388.377,5808850.738,13.661,3.02,109.399,-43.751,-37.847463,144.8108389
3480,Enter,3,3,L2,307426.273,5808846.804,13.178,0,147.295,-47.685,-37.84750644,144.8112682
3480,Enter,4,1,L3,307282.598,5808867.328,15.042,3.288,3.62,-27.161,-37.84729123,144.8096418
3480,Enter,4,2,L3,307382.856,5808854.807,13.857,3.442,103.878,-39.682,-37.84742519,144.8107772
3480,Enter,4,3,L3,307462.62,5808843.283,13.047,3.619,183.642,-51.206,-37.84754582,144.8116801
3480,Enter,4,4,L3,307563.314,5808830.579,12.689,3.856,284.336,-63.91,-37.8476815,144.8128204
